매장이름,위도주소,경도주소,매장타입,매장주소,시도
역삼아레나빌딩,37.501087,127.043069,general,서울특별시 강남구 언주로 425 (역삼동),서울특별시
논현역사거리,37.510178,127.022223,general,서울특별시 강남구 강남대로 538 (논현동),서울특별시
신사역성일빌딩,37.5139309,127.0206057,general,서울특별시 강남구 강남대로 584 (논현동),서울특별시
국기원사거리,37.499517,127.031495,general,서울특별시 강남구 테헤란로 125 (역삼동),서울특별시
대치재경빌딩,37.494668,127.062583,general,서울특별시 강남구 남부순환로 2947 (대치동),서울특별시
봉은사역,37.515,127.063196,general,서울특별시 강남구 봉은사로 619 (삼성동),서울특별시
압구정윤성빌딩,37.5227934,127.0286009,general,서울특별시 강남구 논현로 834 (신사동),서울특별시
코엑스별마당,37.51015,127.060275,general,서울특별시 강남구 영동대로 513 (삼성동),서울특별시
삼성역섬유센터R,37.50775,127.060651,reserve,서울특별시 강남구 테헤란로 518 (대치동),서울특별시
압구정R,37.5273669,127.033061,reserve,서울특별시 강남구 언주로 861 (신사동),서울특별시
수서역R,37.488008,127.10265,reserve,서울특별시 강남구 광평로 281 (수서동),서울특별시
양재강남빌딩R,37.485192,127.036685,reserve,서울특별시 강남구 남부순환로 2621 (도곡동),서울특별시
선릉동신빌딩R,37.505321,127.050409,reserve,서울특별시 강남구 테헤란로 409 (삼성동),서울특별시
봉은사로선정릉,37.51131683,127.0484634,general,서울특별시 강남구 봉은사로 446 (삼성동),서울특별시
강남오거리,37.502117,127.026672,general,서울특별시 강남구 봉은사로2길 39 (역삼동),서울특별시
스타필드코엑스몰R,37.50999,127.061455,reserve,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,서울특별시
강남구청정문,37.518181,127.045995,general,서울특별시 강남구 학동로 419 (청담동),서울특별시
도곡공원,37.492805,127.041309,general,서울특별시 강남구 도곡로 205 (역삼동),서울특별시
강남R,37.497711,127.028439,reserve,서울특별시 강남구 강남대로 390 (역삼동),서울특별시
대치은마사거리,37.498973,127.060172,general,서울특별시 강남구 도곡로 457 (대치동),서울특별시
청담영동대로,37.522156,127.056449,general,서울특별시 강남구 영동대로 720 (청담동),서울특별시
압구정,37.526283,127.02956,general,서울특별시 강남구 압구정로30길 17 (신사동),서울특별시
신사가로수,37.521933,127.022521,general,서울특별시 강남구 가로수길 59 ,서울특별시
청담스타R,37.525216,127.041827,reserve,서울특별시 강남구 도산대로57길 24 (청담동),서울특별시
강남우성,37.492396,127.03091,general,서울특별시 강남구 강남대로 328 (역삼동),서울특별시
학동사거리,37.5223645,127.0379543,general,서울특별시 강남구 도산대로 328 (논현동),서울특별시
대치사거리,37.503331,127.058817,general,서울특별시 강남구 삼성로 402 (대치동),서울특별시
포스코사거리,37.5075307,127.0574271,general,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,서울특별시
을지병원사거리,37.5191632,127.0286446,general,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",서울특별시
신사역,37.5162021,127.0207428,general,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,서울특별시
도곡역,37.492167,127.057398,general,서울특별시 강남구 남부순환로 2909 (대치동),서울특별시
서울세관사거리,37.514887,127.035653,general,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,서울특별시
청담사거리,37.5236351,127.0468651,general,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,서울특별시
한티역,37.496801,127.055055,general,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",서울특별시
역삼초교사거리,37.4941059,127.0329973,general,서울특별시 강남구 역삼로 123 (역삼동),서울특별시
코엑스몰,37.513715,127.059245,general,서울특별시 강남구 영동대로 513 (삼성동) O103호,서울특별시
가로수길,37.5231593,127.021625,general,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",서울특별시
역삼대로,37.501623,127.039375,general,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",서울특별시
역삼포스코,37.499721,127.033582,general,"서울특별시 강남구 테헤란로 134, P&amp;S TOWER (역삼동)",서울특별시
강남대로,37.50314,127.025546,general,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",서울특별시
청담,37.5243631,127.0515599,general,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",서울특별시
삼성도심공항,37.5097863,127.0579134,general,서울특별시 강남구 테헤란로87길 33 (삼성동),서울특별시
삼성교,37.507794,127.06517,general,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",서울특별시
학동역,37.51464884,127.0307302,general,서울특별시 강남구 논현로 704 (논현동),서울특별시
대치,37.49966175,127.0622171,general,서울특별시 강남구 도곡로 511 (대치동),서울특별시
신세계푸드마켓도곡,37.490298,127.054895,general,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",서울특별시
삼성,37.50689646,127.0557187,general,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",서울특별시
선릉세화빌딩,37.50377562,127.051196,general,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,서울특별시
압구정역,37.52674095,127.0281105,general,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",서울특별시
압구정로,37.52680046,127.0347174,general,서울특별시 강남구 압구정로42길 32 (신사동),서울특별시
구역삼사거리,37.49592355,127.0388645,general,서울특별시 강남구 논현로 401 (역삼동),서울특별시
큰길타워,37.50236693,127.0407,general,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",서울특별시
강남구청역,37.5165849,127.0412433,general,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",서울특별시
대치역,37.493554,127.061874,general,서울특별시 강남구 남부순환로 2936 (대치동) 107호,서울특별시
포이,37.47781106,127.0451411,general,서울특별시 강남구 논현로 88 (개포동),서울특별시
아크플레이스,37.49971982,127.0349084,general,서울특별시 강남구 테헤란로 142 (역삼동),서울특별시
